Kiran_ID,row_id,DateOfIssue,Brand,token_count,Hand_Label,Is_Non_Ad,Reason,is_non_advertiser,is_multipage,too_short,any_flag,is_non_advertiser_ci,any_flag_revised,Outcome_any_flag,Outcome_any_flag_revised
707,706,2014-02-08,Gray & Farrar,36,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
716,715,2014-01-25,Bagehot Memorial Fund,436,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
724,723,2014-01-25,Subscription service,420,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
728,727,2014-01-18,Gray & Farrar,33,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
731,730,2014-01-18,Vmware,80,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
743,742,2014-01-04,ING,48,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
746,745,2014-01-04,Subscription service,491,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
748,747,2013-12-21,TesoroPúblico,37,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
760,759,2013-12-21,Vintage only,31,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
772,771,2013-12-14,,23,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
778,777,2013-12-14,Chevron,118,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
780,779,2013-12-14,,1,0,True,Broken OCR,False,False,True,True,False,True,"Correctly removed (non-ad, flagged)","Correctly removed (non-ad, flagged)"
786,785,2013-12-07,IBM,131,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
789,788,2013-12-07,Microsoft Dynamics,100,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
795,794,2013-12-07,Lexus,61,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
799,798,2013-12-07,,12,0,True,Broken OCR,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
800,799,2013-12-07,Subscription service,454,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
806,805,2013-11-30,Dubai,82,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
813,812,2013-11-30,"Lloyds Bank, Limited",118,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
835,834,2013-11-23,Chevron,85,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
843,842,2013-11-16,"Lloyds Bank, Limited",302,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
861,860,2013-11-09,British Airways,3,0,True,Broken OCR,False,False,True,True,False,True,"Correctly removed (non-ad, flagged)","Correctly removed (non-ad, flagged)"
864,863,2013-11-09,Ford,122,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
880,879,2013-11-02,Engagement and a New Way to Work,652,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
881,880,2013-11-02,Commerzbank,213,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
883,882,2013-11-02,Microsoft Dynamics,66,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
895,894,2013-10-26,Turkish Airlines,92,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
903,902,2013-10-26,Samsung,10,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
907,906,2013-10-26,Subscription service,494,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
910,909,2013-10-19,Bagehot Memorial Fund,564,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
911,910,2013-10-19,TSB,122,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
918,917,2013-10-19,Deutsche Bank,162,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
924,923,2013-10-12,Isbank,118,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
946,945,2013-10-12,BMW,40,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
951,950,2013-10-05,Dassault Systemes,121,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
963,962,2013-09-28,Aberdeen,168,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
968,967,2013-09-28,RBS,171,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
971,970,2013-09-28,Carbon Trust,35,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
977,976,2013-09-21,AXA Investment Managers,71,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
