Dictionary,Outcome,Aggregation,Recession_Definition,Model_Code,Model,N_Quarters,R_squared,Durbin_Watson,Effect,Coefficient,HAC_SE,HAC_p_value,CI_low,CI_high,Interaction_p_value,Outcome_mean_pp,Effect_pct_of_mean,Significant_5pct
Harvard,Neg,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.590286,1.379657,"Recession, pre-1973",-0.002365,0.019222,0.902163,-0.040218,0.035487,0.629733,0.569379,-0.415414,False
Harvard,Neg,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.590286,1.379657,"Recession, post-1973",0.010731,0.019137,0.575465,-0.026954,0.048416,0.629733,0.569379,1.884643,False
Harvard,Pos,Pooled words,Any month (48 quarters),A,A. Recession only,268,0.00362,0.135341,Recession (whole period),-0.055421,0.097048,0.568436,-0.246502,0.13566,,2.193883,-2.52617,False
Harvard,Pos,Pooled words,Any month (48 quarters),B,B. + linear time trend,268,0.461717,0.24291,Recession (whole period),0.033453,0.077488,0.666299,-0.119118,0.186023,,2.193883,1.524822,False
Harvard,Pos,Pooled words,Any month (48 quarters),C,C. + decade fixed effects,268,0.790006,0.671508,Recession (whole period),0.010877,0.042992,0.800474,-0.073782,0.095535,,2.193883,0.495775,False
Harvard,Pos,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.495468,0.262316,"Recession, pre-1973",0.128791,0.138973,0.354913,-0.14485,0.402433,0.363184,2.193883,5.870477,False
Harvard,Pos,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.495468,0.262316,"Recession, post-1973",-0.008965,0.071302,0.900039,-0.14936,0.13143,0.363184,2.193883,-0.408637,False
Harvard,Pos,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.804958,0.710347,"Recession, pre-1973",0.081407,0.052175,0.119925,-0.021337,0.184152,0.15056,2.193883,3.710647,False
Harvard,Pos,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.804958,0.710347,"Recession, post-1973",-0.026821,0.053869,0.618984,-0.132902,0.07926,0.15056,2.193883,-1.222538,False
Harvard,Neg,Pooled words,Any month (48 quarters),A,A. Recession only,268,0.000292,0.53665,Recession (whole period),0.005002,0.026568,0.850817,-0.047309,0.057313,,0.569379,0.878455,False
Harvard,Neg,Pooled words,Any month (48 quarters),B,B. + linear time trend,268,0.024029,0.551128,Recession (whole period),0.011432,0.025528,0.654648,-0.038832,0.061696,,0.569379,2.007828,False
Harvard,Neg,Pooled words,Any month (48 quarters),C,C. + decade fixed effects,268,0.589864,1.376089,Recession (whole period),0.005237,0.013319,0.694496,-0.020991,0.031465,,0.569379,0.919788,False
Harvard,Neg,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.134629,0.631432,"Recession, pre-1973",0.047487,0.046809,0.311288,-0.044682,0.139656,0.384713,0.569379,8.340117,False
Harvard,Neg,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.134629,0.631432,"Recession, post-1973",0.002024,0.023364,0.931032,-0.04398,0.048028,0.384713,0.569379,0.355475,False
Harvard,Neg,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.589939,1.377189,"Recession, pre-1973",0.002,0.018818,0.915451,-0.035058,0.039058,0.837368,0.569379,0.35123,False
Harvard,Neg,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.589939,1.377189,"Recession, post-1973",0.007413,0.0184,0.687394,-0.028822,0.043647,0.837368,0.569379,1.301876,False
Loughran-McDonald,Pos,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,0.008077,0.183769,Recession (whole period),-0.075277,0.087372,0.3897,-0.247306,0.096752,,1.262548,-5.96231,False
Loughran-McDonald,Pos,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.716085,0.637466,Recession (whole period),-0.014931,0.042881,0.727961,-0.099362,0.069499,,1.262548,-1.182636,False
Loughran-McDonald,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.839535,1.167752,Recession (whole period),-0.021476,0.026386,0.416439,-0.073436,0.030483,,1.262548,-1.70104,False
Loughran-McDonald,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.735898,0.689507,"Recession, pre-1973",-0.002165,0.076596,0.977476,-0.152984,0.148655,0.94814,1.262548,-0.171452,False
Loughran-McDonald,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.735898,0.689507,"Recession, post-1973",-0.007726,0.039886,0.846566,-0.086262,0.070811,0.94814,1.262548,-0.611904,False
Loughran-McDonald,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.841988,1.189904,"Recession, pre-1973",0.010982,0.022916,0.632173,-0.034145,0.05611,0.280886,1.262548,0.86986,False
Loughran-McDonald,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.841988,1.189904,"Recession, post-1973",-0.038192,0.039278,0.33179,-0.11554,0.039156,0.280886,1.262548,-3.025013,False
Loughran-McDonald,Neg,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,0.012759,0.938303,Recession (whole period),0.024968,0.01961,0.204058,-0.013643,0.063579,,0.472506,5.284173,False
Loughran-McDonald,Neg,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.013361,0.939187,Recession (whole period),0.025432,0.019371,0.190362,-0.012709,0.063574,,0.472506,5.382395,False
Loughran-McDonald,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.368359,1.506935,Recession (whole period),0.020064,0.011796,0.090154,-0.003164,0.043291,,0.472506,4.24622,False
Loughran-McDonald,Neg,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.04781,0.970237,"Recession, pre-1973",0.029115,0.038002,0.444286,-0.045712,0.103941,0.987758,0.472506,6.161723,False
Loughran-McDonald,Neg,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.04781,0.970237,"Recession, post-1973",0.02845,0.020114,0.158423,-0.011156,0.068056,0.987758,0.472506,6.021106,False
Loughran-McDonald,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.37481,1.532619,"Recession, pre-1973",-0.000223,0.015347,0.988395,-0.030446,0.029999,0.155801,0.472506,-0.047291,False
Loughran-McDonald,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.37481,1.532619,"Recession, post-1973",0.032165,0.016778,0.056336,-0.000875,0.065204,0.155801,0.472506,6.807215,False
Loughran-McDonald,Pos,Average of ratios,Any month (48 quarters),A,A. Recession only,268,0.017756,0.193026,Recession (whole period),-0.105819,0.082091,0.198499,-0.267449,0.055811,,1.262548,-8.381396,False
Loughran-McDonald,Pos,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.715966,0.639259,Recession (whole period),-0.011222,0.041107,0.785071,-0.09216,0.069716,,1.262548,-0.888834,False
Loughran-McDonald,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.839448,1.174494,Recession (whole period),-0.019245,0.026225,0.46372,-0.070887,0.032397,,1.262548,-1.524281,False
Loughran-McDonald,Pos,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.736474,0.690191,"Recession, pre-1973",0.023745,0.067762,0.726308,-0.10968,0.157169,0.597939,1.262548,1.880692,False
Loughran-McDonald,Pos,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.736474,0.690191,"Recession, post-1973",-0.016661,0.039593,0.674231,-0.094621,0.061298,0.597939,1.262548,-1.319665,False
Loughran-McDonald,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.842872,1.189561,"Recession, pre-1973",0.024409,0.018638,0.191505,-0.012295,0.061112,0.113281,1.262548,1.933276,False
Loughran-McDonald,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.842872,1.189561,"Recession, post-1973",-0.045533,0.039822,0.253932,-0.123953,0.032886,0.113281,1.262548,-3.606469,False
Loughran-McDonald,Neg,Average of ratios,Any month (48 quarters),A,A. Recession only,268,0.025401,0.950528,Recession (whole period),0.033399,0.021361,0.119109,-0.008659,0.075458,,0.472506,7.068548,False
Loughran-McDonald,Neg,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.026819,0.952714,Recession (whole period),0.034525,0.020743,0.097217,-0.006318,0.075367,,0.472506,7.306702,False
Loughran-McDonald,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.369121,1.507748,Recession (whole period),0.020305,0.011314,0.073857,-0.001973,0.042583,,0.472506,4.297331,False
Loughran-McDonald,Neg,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.068661,0.9969,"Recession, pre-1973",0.054738,0.041146,0.184552,-0.026278,0.135755,0.544488,0.472506,11.584714,False
Loughran-McDonald,Neg,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.068661,0.9969,"Recession, post-1973",0.026955,0.019571,0.169599,-0.011581,0.065491,0.544488,0.472506,5.704658,False
Loughran-McDonald,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.374984,1.52105,"Recession, pre-1973",0.002634,0.01516,0.862228,-0.027221,0.032488,0.195983,0.472506,0.557356,False
